home_name,away_name
Man Utd,Leeds
West Ham,Chelsea
Arsenal,Brentford
Crystal Palace,Brighton
Fulham,Nottm Forest
Leicester,Tottenham
Southampton,Wolverhampton
Bournemouth,Newcastle
Leeds,Man Utd
Man City,Aston Villa
Liverpool,Everton
Arsenal,Man City
Aston Villa,Arsenal
Brentford,Crystal Palace
Brighton,Fulham
Chelsea,Southampton
Everton,Leeds
Nottm Forest,Man City
Wolverhampton,Bournemouth
Newcastle,Liverpool
Man Utd,Leicester
Tottenham,West Ham
AC Milan,Tottenham
PSG,Bayern Munich
Brugge,Benfica
Dortmund,Chelsea
Liverpool,Real Madrid
Eintracht Frankfurt,Napoli
RB Leipzig,Man City
Inter Milan,FC Porto
Barcelona,Man Utd
Shakhtar Donetsk,Rennes
Ajax,Union Berlin
Salzburg,Roma
Juventus,Nantes
Sporting,FC Midtjylland
Bayer Leverkusen,Monaco
Sevilla,PSV
Inter Milan,AC Milan
Verona,Lazio
Monza,Sampdoria
Salernitana,Juventus
AC Milan,Torino
Empoli,Spezia
Lecce,Roma
Lazio,Atalanta
Udinese,Sassuolo
Bologna,Monza
Juventus,Fiorentina
Napoli,Cremonese
Man Utd,Leeds
West Ham,Chelsea
Arsenal,Brentford
Crystal Palace,Brighton
Fulham,Nottm Forest
Leicester,Tottenham
Southampton,Wolverhampton
Bournemouth,Newcastle
Leeds,Man Utd
Man City,Aston Villa
Liverpool,Everton
Arsenal,Man City
Aston Villa,Arsenal
Brentford,Crystal Palace
Brighton,Fulham
Chelsea,Southampton
Everton,Leeds
Nottm Forest,Man City
Wolverhampton,Bournemouth
Newcastle,Liverpool
Man Utd,Leicester
Tottenham,West Ham
AC Milan,Tottenham
PSG,Bayern Munich
Brugge,Benfica
Dortmund,Chelsea
Liverpool,Real Madrid
Eintracht Frankfurt,Napoli
RB Leipzig,Man City
Inter Milan,FC Porto
Barcelona,Man Utd
Shakhtar Donetsk,Rennes
Ajax,Union Berlin
Salzburg,Roma
Juventus,Nantes
Sporting,FC Midtjylland
Bayer Leverkusen,Monaco
Sevilla,PSV
Inter Milan,AC Milan
Verona,Lazio
Monza,Sampdoria
Salernitana,Juventus
AC Milan,Torino
Empoli,Spezia
Lecce,Roma
Lazio,Atalanta
Udinese,Sassuolo
Bologna,Monza
Juventus,Fiorentina
Napoli,Cremonese
